City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,New Norfolk,AU,54.0,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
3,Carnarvon,AU,57.2,clear sky,-24.87,113.63,Hospitality Carnarvon
5,Puerto Ayora,EC,66.16,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
6,Labytnangi,RU,52.32,overcast clouds,66.66,66.42,Priuralye Hotel
7,Rikitea,PF,69.08,clear sky,-23.12,-134.97,Pension Maro'i
8,Songjianghe,CN,62.26,overcast clouds,42.19,127.48,Sijisheng Fashion Guest House
10,Narsaq,GL,60.8,light rain,60.92,-46.05,Hotel Narsaq
12,Yulara,AU,53.6,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
13,Yellowknife,CA,53.6,light intensity shower rain,62.46,-114.35,The Explorer Hotel
15,Cidreira,BR,65.17,broken clouds,-30.18,-50.21,Hotel Castelo
16,Saint-Leu,RE,69.8,broken clouds,-21.15,55.28,La Caz Oceane
20,Codrington,AU,50.14,clear sky,-38.27,141.97,Codrington Gardens Bed And Breakfast
24,Kodiak,US,64.4,clear sky,57.79,-152.41,Best Western Kodiak Inn and Convention Center
28,Rocha,UY,57.27,overcast clouds,-34.48,-54.33,Beleza Pura B&B
29,Port Alfred,ZA,57.22,clear sky,-33.59,26.89,The Halyards Hotel
37,Cape Town,ZA,51.01,broken clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
38,Tigil,RU,54.54,scattered clouds,57.8,158.67,Tigil'
40,Mandalgovi,MN,51.89,broken clouds,45.76,106.27,В.Ганбат
52,Tocopilla,CL,62.1,scattered clouds,-22.09,-70.2,Hotel Galvarino
54,Port Hawkesbury,CA,64.4,clear sky,45.62,-61.35,Hearthstone Inn Port Hawkesbury
55,Nikolskoye,RU,57.2,scattered clouds,59.7,30.79,Tourist House - Sablino
56,Prince Rupert,CA,59.0,broken clouds,54.32,-130.32,Crest Hotel
59,Tuktoyaktuk,CA,51.8,few clouds,69.45,-133.04,End of The Road Ltd.
60,Bereda,ES,57.0,scattered clouds,43.27,-7.54,Pazo de Verdes
64,Nome,US,57.99,overcast clouds,64.5,-165.41,Dredge 7 Inn
65,Coquimbo,CL,55.4,scattered clouds,-29.95,-71.34,Hotel San Juan
71,Thompson,CA,60.8,broken clouds,55.74,-97.86,Burntwood Hotel
73,Kaitangata,NZ,50.0,broken clouds,-46.28,169.85,Kaitangata Motor Camp
75,Vestmannaeyjar,IS,52.05,overcast clouds,63.44,-20.27,Glamping & Camping
