City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Basco,20.45,121.97,84.09,80,97,17.81,PH,moderate rain
1,Ostrovnoy,68.05,39.51,47.79,69,59,9.06,RU,broken clouds
2,Coquimbo,-29.95,-71.34,46.4,87,0,6.93,CL,clear sky
3,Atuona,-9.8,-139.03,78.22,79,68,20.6,PF,light rain
4,Akonolinga,3.77,12.25,66.42,98,98,2.71,CM,overcast clouds
5,Albany,42.6,-73.97,64.0,84,78,2.17,US,broken clouds
6,Longyearbyen,78.22,15.64,33.8,91,75,2.24,SJ,broken clouds
7,Busselton,-33.65,115.33,62.01,41,11,11.36,AU,few clouds
8,Avarua,-21.21,-159.78,77.0,69,8,5.82,CK,clear sky
9,Kirove,47.65,35.7,62.01,87,0,2.71,UA,clear sky
10,Penzance,50.12,-5.54,55.4,87,20,16.11,GB,light rain
11,Khatanga,71.97,102.5,67.87,36,14,8.01,RU,few clouds
12,Polyarnyy,69.2,33.45,46.4,81,60,2.24,RU,broken clouds
13,Norman Wells,65.28,-126.83,48.2,76,90,3.36,CA,overcast clouds
14,Hilo,19.73,-155.09,84.2,51,1,8.05,US,clear sky
15,Conil,44.97,3.72,45.41,100,100,1.66,FR,overcast clouds
16,Tsabong,-26.02,22.4,39.69,69,0,13.04,BW,clear sky
17,Takoradi,4.88,-1.76,74.23,88,89,8.3,GH,overcast clouds
18,Qaanaaq,77.48,-69.36,36.79,90,97,0.96,GL,overcast clouds
19,Pangnirtung,66.15,-65.71,46.08,58,5,5.59,CA,clear sky
20,Vao,-22.67,167.48,68.88,72,66,19.33,NC,broken clouds
21,Upernavik,72.79,-56.15,39.02,74,0,12.26,GL,clear sky
22,Jamestown,42.1,-79.24,69.01,93,90,10.29,US,overcast clouds
23,Breytovo,58.3,37.86,55.98,94,100,10.13,RU,overcast clouds
24,Rio Grande,-32.03,-52.1,61.0,98,22,1.99,BR,light rain
25,Vaini,-21.2,-175.2,78.8,78,75,9.17,TO,broken clouds
26,Lorengau,-2.02,147.27,84.69,75,76,14.09,PG,light rain
27,Mar Del Plata,-38.0,-57.56,57.2,93,90,2.24,AR,mist
28,Grindavik,63.84,-22.43,50.0,93,75,9.17,IS,broken clouds
29,San Joaquin,10.26,-67.79,71.44,89,30,5.12,VE,scattered clouds
30,Dikson,73.51,80.55,48.31,83,87,9.06,RU,overcast clouds
31,East London,-33.02,27.91,53.6,81,0,10.29,ZA,clear sky
32,Severo-Kurilsk,50.68,156.12,51.06,88,91,9.89,RU,light rain
33,Havoysund,71.0,24.66,46.4,81,75,19.46,NO,broken clouds
34,Namibe,-15.2,12.15,58.26,83,90,4.59,AO,overcast clouds
35,Liepaja,56.54,21.04,55.4,82,100,5.82,LV,overcast clouds
36,Kahului,20.89,-156.47,87.8,45,1,19.46,US,clear sky
37,Hermanus,-34.42,19.23,46.99,85,74,4.0,ZA,light rain
38,Punta Arenas,-53.15,-70.92,30.2,68,65,14.99,CL,broken clouds
39,Tuktoyaktuk,69.45,-133.04,46.4,75,75,9.17,CA,broken clouds
40,Albion,42.24,-84.75,71.01,93,90,14.99,US,heavy intensity rain
41,Road Town,18.42,-64.62,82.99,90,25,10.0,VG,scattered clouds
42,New Norfolk,-42.78,147.06,62.6,45,75,10.29,AU,broken clouds
43,Noumea,-22.28,166.46,69.8,64,90,12.75,NC,overcast clouds
44,Kieta,-6.22,155.63,83.73,70,29,4.63,PG,light rain
45,Waingapu,-9.66,120.26,86.99,39,0,21.94,ID,clear sky
46,Mataura,-46.19,168.86,51.91,65,100,10.47,NZ,light rain
47,Saskylakh,71.92,114.08,66.49,38,0,7.61,RU,clear sky
48,Sarkand,45.41,79.92,70.93,31,0,7.0,KZ,clear sky
49,Verkhnyaya Inta,65.98,60.31,48.38,78,25,6.51,RU,scattered clouds
50,Kapaa,22.08,-159.32,82.4,65,20,13.87,US,few clouds
51,Kawalu,-7.38,108.21,82.87,63,88,5.39,ID,light rain
52,Parthenay,46.67,-0.42,52.0,92,10,3.58,FR,clear sky
53,Skelleftea,64.75,20.95,50.0,87,100,1.12,SE,overcast clouds
54,Ponta Do Sol,32.67,-17.1,73.4,83,40,13.87,PT,light intensity drizzle rain
55,Olafsvik,64.89,-23.71,51.35,87,100,11.18,IS,overcast clouds
56,Troitskoye,52.98,84.68,65.88,62,0,3.96,RU,clear sky
57,Lebu,-37.62,-73.65,44.17,74,36,16.75,CL,scattered clouds
58,Maraba,-5.37,-49.12,75.94,65,22,2.24,BR,few clouds
59,Poum,-20.23,164.02,71.42,82,81,26.93,NC,broken clouds
60,Novo Oriente,-5.53,-40.77,70.7,47,8,4.79,BR,clear sky
61,Hobart,-42.88,147.33,62.6,45,75,10.29,AU,broken clouds
62,La Ronge,55.1,-105.28,48.2,100,20,2.24,CA,few clouds
63,Wajid,3.81,43.25,73.29,75,1,16.58,SO,clear sky
64,Thompson,55.74,-97.86,53.6,81,90,10.29,CA,overcast clouds
65,Doha,25.29,51.53,93.2,67,99,3.36,QA,overcast clouds
66,Huilong,31.81,121.66,83.35,82,42,11.12,CN,moderate rain
67,Bukama,-9.2,25.85,73.72,69,71,0.72,CD,broken clouds
68,Jaciara,-15.97,-54.97,68.77,24,0,3.33,BR,clear sky
69,Hasaki,35.73,140.83,99.0,67,20,9.17,JP,few clouds
70,Butaritari,3.07,172.79,82.58,73,55,12.93,KI,broken clouds
71,Los Andes,-32.83,-70.6,46.4,81,75,8.05,CL,broken clouds
72,Miguel Alves,-4.17,-42.9,72.34,84,24,2.39,BR,few clouds
73,Alofi,-19.06,-169.92,77.0,73,22,16.11,NU,few clouds
74,Phan Thiet,10.93,108.1,88.7,63,33,11.48,VN,scattered clouds
75,Korla,41.76,86.15,75.0,91,36,3.0,CN,scattered clouds
76,Carnarvon,-24.87,113.63,71.6,56,40,19.46,AU,scattered clouds
77,Puerto Ayora,-0.74,-90.35,64.99,88,58,8.5,EC,broken clouds
78,Rikitea,-23.12,-134.97,69.51,65,0,4.92,PF,clear sky
79,Fort Nelson,58.81,-122.7,51.8,87,75,5.82,CA,light rain
80,Ushuaia,-54.8,-68.3,32.0,90,90,32.21,AR,heavy snow
81,Hamilton,39.18,-84.53,73.99,94,1,6.93,US,clear sky
82,Tazovskiy,67.47,78.7,57.81,70,0,4.32,RU,clear sky
83,Vostok,46.49,135.88,55.6,99,100,6.02,RU,light rain
84,Kondinskoye,59.65,67.41,62.15,62,14,3.91,RU,few clouds
85,Klaksvik,62.23,-6.59,48.2,81,76,6.93,FO,broken clouds
86,Paamiut,61.99,-49.67,44.17,94,100,1.95,GL,moderate rain
87,Oktyabrskoye,43.06,44.74,64.4,88,48,2.24,RU,light rain
88,Pangai,-19.8,-174.35,78.8,78,20,16.11,TO,few clouds
89,Marawi,8.0,124.29,86.0,69,100,5.99,PH,light rain
90,Barrow,71.29,-156.79,37.4,86,90,16.11,US,overcast clouds
91,Keningau,5.34,116.16,87.8,79,20,5.82,MY,few clouds
92,Hirara,24.8,125.28,91.4,74,40,8.05,JP,scattered clouds
93,Bengkulu,-3.8,102.27,86.41,62,27,9.48,ID,scattered clouds
94,Lagoa,39.05,-27.98,74.44,93,2,15.55,PT,light rain
95,Port Alfred,-33.59,26.89,55.08,63,0,10.09,ZA,clear sky
96,Bambous Virieux,-20.34,57.76,71.6,83,75,12.75,MU,shower rain
97,Kodiak,57.79,-152.41,62.6,51,1,4.7,US,clear sky
98,Usinsk,65.99,57.53,48.96,67,1,12.01,RU,clear sky
99,Sulangan,11.14,123.72,85.39,71,100,10.69,PH,overcast clouds
100,Shenkursk,62.11,42.9,51.93,95,99,8.32,RU,light rain
101,Grand-Santi,4.25,-54.38,72.55,97,76,1.57,GF,light rain
102,Mantua,45.17,10.78,71.01,91,36,3.0,IT,scattered clouds
103,Saint-Philippe,-21.36,55.77,73.4,64,41,12.75,RE,scattered clouds
104,Tuatapere,-46.13,167.68,51.91,77,89,12.15,NZ,light rain
105,Castro,-24.79,-50.01,56.77,81,0,2.91,BR,clear sky
106,Teguise,29.06,-13.56,73.4,73,75,18.34,ES,broken clouds
107,Bandarbeyla,9.49,50.81,78.93,64,34,27.18,SO,scattered clouds
108,Cherskiy,68.75,161.3,49.91,70,92,10.76,RU,overcast clouds
109,Sompeta,18.93,84.6,87.51,63,37,5.06,IN,scattered clouds
110,Erdemli,36.6,34.31,80.71,56,0,0.85,TR,clear sky
111,Iqaluit,63.75,-68.51,50.0,61,75,5.82,CA,broken clouds
112,Bungu,-7.63,39.06,71.67,86,87,0.29,TZ,overcast clouds
113,Winslow,35.02,-110.7,73.4,53,1,11.41,US,clear sky
114,Samana,19.21,-69.34,79.09,90,21,7.56,DO,few clouds
115,Geraldton,-28.77,114.6,64.4,52,90,13.87,AU,overcast clouds
116,Imeni Babushkina,59.76,43.13,55.78,96,35,2.39,RU,scattered clouds
117,Bosaso,11.28,49.18,92.5,39,99,19.28,SO,overcast clouds
118,Northam,51.03,-4.22,53.01,79,21,8.01,GB,few clouds
119,Burnie,-41.07,145.92,55.35,74,99,13.73,AU,overcast clouds
