City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kapaa,22.08,-159.32,82.4,74,20,11.41,US,2020-08-25 03:43:51
1,Vaini,-21.2,-175.2,78.8,78,20,8.05,TO,2020-08-25 03:44:48
2,Bluff,-46.6,168.33,45.0,71,62,15.99,NZ,2020-08-25 03:44:48
3,Mandan,46.83,-100.89,73.4,83,75,9.17,US,2020-08-25 03:44:48
4,Tuktoyaktuk,69.45,-133.04,53.6,87,20,8.05,CA,2020-08-25 03:44:48
5,Hilo,19.73,-155.09,82.4,65,75,5.82,US,2020-08-25 03:44:48
6,Raudeberg,61.99,5.14,50.0,89,100,13.89,NO,2020-08-25 03:44:48
7,Sydney,-33.87,151.21,62.01,58,20,9.17,AU,2020-08-25 03:40:29
8,Ust-Nera,64.57,143.2,53.51,41,32,6.87,RU,2020-08-25 03:44:48
9,Nagato,34.38,131.2,93.2,66,40,19.46,JP,2020-08-25 03:44:48
10,Salalah,17.02,54.09,75.2,100,90,8.05,OM,2020-08-25 03:43:06
11,Busselton,-33.65,115.33,66.99,45,54,5.39,AU,2020-08-25 03:44:48
12,Tiksi,71.69,128.87,40.8,72,17,14.61,RU,2020-08-25 03:44:48
13,Butaritari,3.07,172.79,82.15,70,100,7.92,KI,2020-08-25 03:44:48
14,Ribeira Grande,38.52,-28.7,73.65,92,54,13.27,PT,2020-08-25 03:44:49
15,Dikson,73.51,80.55,48.25,88,99,5.77,RU,2020-08-25 03:44:49
16,Kavaratti,10.57,72.64,82.4,74,20,9.17,IN,2020-08-25 03:44:49
17,Dubreka,9.79,-13.52,74.68,94,100,4.05,GN,2020-08-25 03:44:49
18,Bredasdorp,-34.53,20.04,50.0,93,100,5.82,ZA,2020-08-25 03:44:49
19,Qaanaaq,77.48,-69.36,33.8,91,100,7.34,GL,2020-08-25 03:44:49
20,Washington,47.5,-120.5,78.8,31,1,14.99,US,2020-08-25 03:39:52
21,Tautira,-17.73,-149.15,82.4,65,20,9.17,PF,2020-08-25 03:44:49
22,Boyolangu,-8.12,111.89,84.67,60,27,9.57,ID,2020-08-25 03:44:49
23,Mitchell,43.71,-98.03,82.4,65,1,11.41,US,2020-08-25 03:44:49
24,Saint-Francois,46.42,3.91,50.0,93,70,3.36,FR,2020-08-25 03:44:49
25,Amahai,-3.33,128.92,80.42,78,52,14.52,ID,2020-08-25 03:44:49
26,Cherskiy,68.75,161.3,39.85,94,100,3.83,RU,2020-08-25 03:44:49
27,Jamestown,42.1,-79.24,73.99,78,40,4.7,US,2020-08-25 03:44:49
28,Nanortalik,60.14,-45.24,42.64,86,82,8.03,GL,2020-08-25 03:44:49
29,Richards Bay,-28.78,32.04,61.32,84,34,5.68,ZA,2020-08-25 03:44:49
30,Mayo,38.89,-76.51,80.01,83,1,6.93,US,2020-08-25 03:44:49
31,Rio Cuarto,-33.13,-64.35,64.4,48,66,14.99,AR,2020-08-25 03:44:49
32,Lorengau,-2.02,147.27,81.91,81,72,10.6,PG,2020-08-25 03:44:49
33,Khatanga,71.97,102.5,66.88,53,36,7.16,RU,2020-08-25 03:44:49
34,Hobart,-42.88,147.33,55.0,54,40,13.87,AU,2020-08-25 03:44:45
35,Port Alfred,-33.59,26.89,62.15,88,100,17.56,ZA,2020-08-25 03:44:49
36,Hirado,33.36,129.55,95.0,53,40,10.29,JP,2020-08-25 03:44:49
37,Wewak,-3.55,143.63,85.21,64,82,6.26,PG,2020-08-25 03:44:50
38,Mataura,-46.19,168.86,45.0,71,75,15.99,NZ,2020-08-25 03:44:50
39,Kenai,60.55,-151.26,62.6,55,90,6.93,US,2020-08-25 03:44:28
40,Ushuaia,-54.8,-68.3,32.0,90,40,4.59,AR,2020-08-25 03:44:50
41,Egvekinot,66.32,-179.17,51.33,77,76,2.53,RU,2020-08-25 03:44:50
42,Puerto Ayora,-0.74,-90.35,64.99,89,72,9.78,EC,2020-08-25 03:44:50
43,Cape Town,-33.93,18.42,48.2,93,98,5.82,ZA,2020-08-25 03:42:06
44,Lebork,54.54,17.75,57.99,87,100,8.05,PL,2020-08-25 03:44:50
45,Newton,42.34,-71.21,77.0,100,2,10.29,US,2020-08-25 03:40:17
46,Barrow,71.29,-156.79,44.6,81,90,4.7,US,2020-08-25 03:44:50
47,Khipro,25.83,69.38,84.87,71,100,14.67,PK,2020-08-25 03:44:50
48,Tasiilaq,65.61,-37.64,37.4,87,16,2.84,GL,2020-08-25 03:44:50
49,Vasudevanallur,9.23,77.42,86.61,55,100,0.45,IN,2020-08-25 03:44:50
50,Salinopolis,-0.61,-47.36,77.77,84,7,7.81,BR,2020-08-25 03:44:50
51,Rikitea,-23.12,-134.97,71.71,89,0,10.4,PF,2020-08-25 03:44:50
52,Jalu,29.03,21.55,73.33,60,0,5.55,LY,2020-08-25 03:44:50
53,Senno,59.53,33.92,53.01,94,12,6.33,RU,2020-08-25 03:44:50
54,Shahrud,36.42,54.98,61.9,58,72,14.5,IR,2020-08-25 03:44:50
55,Cayenne,4.93,-52.33,75.2,100,3,7.81,GF,2020-08-25 03:44:50
56,Hermanus,-34.42,19.23,48.0,92,100,6.51,ZA,2020-08-25 03:44:50
57,Airai,-8.93,125.41,74.16,40,0,8.01,TL,2020-08-25 03:44:50
58,Albany,42.6,-73.97,73.0,89,1,4.16,US,2020-08-25 03:41:59
59,New Norfolk,-42.78,147.06,55.0,75,67,4.0,AU,2020-08-25 03:44:50
60,Saskylakh,71.92,114.08,58.91,48,94,15.3,RU,2020-08-25 03:44:50
61,Norman Wells,65.28,-126.83,64.4,63,40,4.7,CA,2020-08-25 03:44:50
62,Kashima,33.11,130.09,95.0,75,20,5.82,JP,2020-08-25 03:44:50
63,Tateyama,34.98,139.87,87.01,70,20,12.75,JP,2020-08-25 03:44:50
64,Ilulissat,69.22,-51.1,39.2,93,88,0.78,GL,2020-08-25 03:44:50
65,Pangody,65.85,74.49,50.97,94,100,9.26,RU,2020-08-25 03:44:50
66,Gumdag,39.21,54.59,73.53,41,0,7.18,TM,2020-08-25 03:44:50
67,Taoudenni,22.68,-3.98,97.21,25,92,12.24,ML,2020-08-25 03:44:50
68,Chuy,-33.7,-53.46,56.97,89,49,11.27,UY,2020-08-25 03:44:50
69,Road Town,18.42,-64.62,80.01,90,24,8.99,VG,2020-08-25 03:44:51
70,Srednekolymsk,67.45,153.68,41.58,78,100,9.93,RU,2020-08-25 03:44:51
71,Avera,33.19,-82.53,75.2,95,90,8.05,US,2020-08-25 03:44:51
72,Nuuk,64.18,-51.72,42.8,87,68,6.93,GL,2020-08-25 03:44:51
73,La Ronge,55.1,-105.28,55.4,87,40,6.93,CA,2020-08-25 03:44:51
74,Port Elizabeth,-33.92,25.57,60.8,93,90,12.75,ZA,2020-08-25 03:43:25
75,Castro,-24.79,-50.01,47.5,95,41,9.48,BR,2020-08-25 03:44:51
76,Severo-Kurilsk,50.68,156.12,56.52,74,27,2.93,RU,2020-08-25 03:44:51
77,Rupert,42.62,-113.68,77.0,41,1,21.92,US,2020-08-25 03:44:51
78,Kodiak,57.79,-152.41,64.4,48,1,13.87,US,2020-08-25 03:44:51
79,Bosaso,11.28,49.18,91.13,41,27,17.72,SO,2020-08-25 03:44:51
80,Bambous Virieux,-20.34,57.76,70.0,73,75,11.41,MU,2020-08-25 03:44:51
81,Mangochi,-14.48,35.26,66.31,71,24,2.64,MW,2020-08-25 03:44:51
